"","rowid","plant_id_eia","energy_source_code","fuel_type_code_pudl","fuel_group_code","supplier_name","fuel_received_units","fuel_mmbtu_per_unit","sulfur_content_pct","ash_content_pct","fuel_cost_per_mmbtu"
"1",1,3,"BIT","coal","coal","interocean coal",259412,23.1,0.49,5.4,2.135
"2",2,3,"BIT","coal","coal","interocean coal",52241,22.8,0.48,5.7,2.115
"3",3,3,"NG","gas","natural_gas","bay gas pipeline",2783619,1.039,0,0,8.631
"4",4,7,"BIT","coal","coal","alabama coal",25397,24.61,1.69,14.7,2.776
"5",5,7,"BIT","coal","coal","d & e mining",764,24.446,0.84,15.5,3.381
"6",6,7,"BIT","coal","coal","alabama coal",603,24.577,1.54,14.6,2.199
"7",7,7,"NG","gas","natural_gas","various",2341,1.019,0,0,7.26
"8",8,8,"BIT","coal","coal","twin pines coal company, inc.",8869,23.911,2.16,15.4,2.076
"9",9,8,"BIT","coal","coal","twin pines coal company, inc.",75442,24.735,1.24,11.9,2.549
"10",10,8,"BIT","coal","coal","alabama coal",206741,23.456,1.9,15.4,2.437
"11",11,8,"BIT","coal","coal","alabama coal",18255,23.86,1.68,14.6,2.351
"12",12,8,"BIT","coal","coal","national coal",16022,22.855,1.38,13.9,2.512
"13",13,8,"BIT","coal","coal","alabama coal",16357,24.026,1.59,14.6,2.366
"14",14,8,"DFO","oil","petroleum","name pending",2,5.5,0,0,18.607
"15",15,9,"NG","gas","natural_gas","one energy marketing and trading",23047,1.019,0,0,8.529
"16",16,10,"BIT","coal","coal","alabama coal",6217,22.774,1.84,17,2.492
"17",17,10,"BIT","coal","coal","interocean coal",39597,22.861,0.5,5.7,2.221
"18",18,10,"BIT","coal","coal","interocean coal",33930,23.12,0.49,5.4,2.26
"19",19,10,"BIT","coal","coal","drummond",14384,25.068,0.88,7.9,2.211
"20",20,10,"BIT","coal","coal","interocean coal",9162,23.12,0.49,5.4,2.244
"21",21,10,"BIT","coal","coal","jim walter",9196,23.35,0.77,9.2,2.509
"22",22,10,"NG","gas","natural_gas","various",452000,1.025,0,0,8.438
"23",23,26,"BIT","coal","coal","t c sales",27907,24.062,1.86,15,2.496
"24",24,26,"BIT","coal","coal","alabama coal",34995,23.379,0.9,15.1,3.287
"25",25,26,"BIT","coal","coal","alabama coal",7058,23.278,1.51,15.6,2.864
